timestamp,ticker,market,signal_type,price,reason,values,rule_id,notes
2025-02-11 00:00:00,ILMN,NA,BUY,100.6800,entry_ok,"{""rsi"":10.160650808662027,""drop_pct"":-24.646358921298063,""zscore"":-3.6576307377118353}",ENTRY_V1,
2025-02-11 00:00:00,RHI,NA,BUY,57.9507,entry_ok,"{""rsi"":5.4217294068869535,""drop_pct"":-15.711647204113731,""zscore"":-2.34329293171883}",ENTRY_V1,
2025-02-11 00:00:00,SWKS,NA,BUY,63.8994,entry_ok,"{""rsi"":10.667072214385513,""drop_pct"":-27.36888281005899,""zscore"":-3.2633377134926715}",ENTRY_V1,
2025-02-11 00:00:00,TSLA,NA,BUY,328.5000,entry_ok,"{""rsi"":18.286344527955265,""drop_pct"":-17.48097088046997,""zscore"":-2.2339891509467185}",ENTRY_V1,
2025-02-12 00:00:00,DECK,NA,BUY,154.0300,entry_ok,"{""rsi"":15.30853848980341,""drop_pct"":-29.63453491362995,""zscore"":-2.775330600302505}",ENTRY_V1,
2025-02-12 00:00:00,FMC,NA,BUY,35.6675,entry_ok,"{""rsi"":11.826215488970632,""drop_pct"":-34.91922879218532,""zscore"":-2.206894299337483}",ENTRY_V1,
2025-02-12 00:00:00,HII,NA,BUY,161.2445,entry_ok,"{""rsi"":19.84870688220734,""drop_pct"":-15.241841783038835,""zscore"":-2.784921224861207}",ENTRY_V1,
2025-02-12 00:00:00,ILMN,NA,BUY,103.5700,entry_ok,"{""rsi"":16.882573599186415,""drop_pct"":-21.371091151686407,""zscore"":-2.983589961235981}",ENTRY_V1,
2025-02-12 00:00:00,MRNA,NA,BUY,30.5350,entry_ok,"{""rsi"":22.007083897581282,""drop_pct"":-25.0122816010936,""zscore"":-2.2241062330444614}",ENTRY_V1,
2025-02-12 00:00:00,RHI,NA,BUY,56.5919,entry_ok,"{""rsi"":5.124602385257958,""drop_pct"":-16.283434506548367,""zscore"":-2.4444932859183517}",ENTRY_V1,
2025-02-12 00:00:00,SWKS,NA,BUY,64.8399,entry_ok,"{""rsi"":11.807405777270858,""drop_pct"":-26.58607166303859,""zscore"":-2.8094702177218998}",ENTRY_V1,
2025-02-13 00:00:00,DECK,NA,BUY,158.1100,entry_ok,"{""rsi"":19.14516034641862,""drop_pct"":-29.133611143464012,""zscore"":-2.343522536767255}",ENTRY_V1,
2025-02-13 00:00:00,FMC,NA,BUY,35.7162,entry_ok,"{""rsi"":12.0418650576528,""drop_pct"":-34.88826193445185,""zscore"":-2.064902927807467}",ENTRY_V1,
2025-02-13 00:00:00,HII,NA,BUY,158.6112,entry_ok,"{""rsi"":19.487343228251362,""drop_pct"":-17.73912867312414,""zscore"":-2.7504951503287502}",ENTRY_V1,
