date,nav,cash,n_pos
2023-12-01,106762.17219905184,89170.03981379794,3
2023-12-04,107114.99071271445,72773.90319306876,6
2023-12-05,106420.66358371808,61999.8242265804,8
2023-12-06,106326.32717629573,49369.078271352264,10
2023-12-07,107031.70041748187,49369.078271352264,10
2023-12-08,107352.11419569985,55459.29323374764,9
2023-12-11,107692.98969573126,72378.28309983358,6
2023-12-12,107489.85005160104,83648.80714770089,4
2023-12-13,107641.38260582145,98047.27131202872,2
2023-12-14,107599.83542331704,85497.54618152627,4
2023-12-15,107459.86784200024,64755.05487374615,8
2023-12-18,107739.03822578539,59492.10627712359,9
2023-12-19,107882.68309612888,79308.88787956852,5
2023-12-20,107177.13236879869,78186.3850047545,5
2023-12-21,107349.13057977702,85908.7200844958,4
2023-12-22,107296.65530399482,96937.9398222367,2
2023-12-25,107296.65530399482,96937.9398222367,2
2023-12-26,107263.85159305732,96937.9398222367,2
2023-12-27,107285.944089231,102714.25805407474,1
2023-12-28,107285.70707737932,107285.70707737932,0
2023-12-29,107285.70707737932,107285.70707737932,0
2024-01-01,107285.70707737932,107285.70707737932,0
2024-01-02,107285.70707737932,107285.70707737932,0
2024-01-03,107268.4165445568,88260.34297525902,5
2024-01-04,107707.04935919936,70650.46528899367,9
2024-01-05,108146.90350843112,76241.66450238864,7
2024-01-08,108746.57717180793,83721.11296892707,5
2024-01-09,108615.63169288795,82967.24185753029,5
2024-01-10,108554.40224539535,89764.28172766464,4
2024-01-11,108314.68391627427,89952.41452747937,5
2024-01-12,108316.08108519056,79747.94085572698,8
2024-01-15,108311.34097670057,79747.94085572698,8
2024-01-16,107556.23348572371,69922.7740750563,10
2024-01-17,106962.08150370576,65515.77466078259,10
2024-01-18,107726.702306274,62799.24632740362,10
2024-01-19,107991.45279660162,74139.09174313482,7
2024-01-22,108293.15914894281,85106.50646473108,5
2024-01-23,108533.17057299412,94450.94143771923,3
2024-01-24,108072.73406330087,76976.41371980646,6
2024-01-25,107765.99702676218,71755.73646768015,6
2024-01-26,107908.80549176615,71755.73646768015,6
2024-01-29,108113.71441265543,75121.67937847575,5
2024-01-30,108265.05831423443,73930.47175362747,6
2024-01-31,107799.85502814242,67330.15237306544,7
2024-02-01,107911.41389285476,45768.75082289131,10
2024-02-02,108302.02592383773,45768.75082289131,10
2024-02-05,107762.864621152,45768.75082289131,10
2024-02-06,107836.75684677047,37681.886721953575,10
2024-02-07,107964.99462170077,61745.031719631676,8
2024-02-08,107885.76972622419,65541.1359180882,8
2024-02-09,108760.81856293936,57492.5852293517,10
2024-02-12,109288.06705229504,74643.0788206361,7
2024-02-13,108492.13051521359,59407.786921616185,10
2024-02-14,109062.31329464573,54045.978806730694,10
2024-02-15,109886.02438015907,81573.60098690956,5
2024-02-16,109917.54237619549,74145.81326833874,7
2024-02-19,109917.54237619549,74145.81326833874,7
2024-02-20,109801.79505533274,70694.13812512453,8
2024-02-21,109283.51665670928,64248.71354897079,9
2024-02-22,109988.14428891263,65048.993530407766,9
2024-02-23,110271.40283936527,65576.01717132595,7
2024-02-26,111230.32949317645,68150.41395248126,7
2024-02-27,111611.52559189188,81483.49836162913,5
2024-02-28,111569.23675827826,77379.41155247534,6
2024-02-29,111942.80447760393,73460.52799883654,6
2024-03-01,111817.90330390129,88899.87327078971,4
2024-03-04,111977.21590419988,101426.8880309699,2
2024-03-05,111671.14467404706,93816.58934377057,4
2024-03-06,111976.60919157547,89191.99832884353,5
